회차,주요안건,회의내용 요약,키워드(가중치포함),키워드_가중치맵,키워드_RAW_JSON
353회,"2016회계연도 행정안전부, 인사혁신처, 경찰청, 소방청, 중앙선관위 결산 및 예비비 지출 승인; 경찰공무원법 및 소방공무원법 일부개정법률안(근속승진기간 단축) 심사 및 의결; 을지훈련 실시 및 국가위기 관리능력 점검 관련 보고","제353회 국회 행정안전위원회는 2016회계연도 결산 및 예비비 지출 승인 안건을 심의하였다. 행정안전부, 인사혁신처, 경찰청, 소방청, 중앙선관위의 예산 집행 현황과 주요 사업 집행 실적을 보고받고, 일부 사업의 집행률 저조 문제와 예산 집행의 효율성 제고 방안을 논의하였다. 또한 경찰 및 소방공무원의 근속승진기간을 단축하는 법률안 8건을 통합 조정하여 의결하였으며, 관련 부처와 위원들의 의견을 반영해 향후 제도 개선을 약속하였다. 을지훈련 실시와 국가위기 대응체계 강화도 강조되었다. 전반적으로 예산 집행의 투명성과 효율성, 공무원 처우 개선이 핵심 의제로 다뤄졌다.","결산심사(10), 경찰공무원법(9), 소방공무원법(9), 근속승진기간 단축(9), 예비비 지출(7), 을지훈련(6), 예산 집행률(6), 국가위기 관리(5), 공무원 처우 개선(7), 중앙선관위(5)","{""결산심사"":10,""을지훈련"":6,""중앙선관위"":5,""예비비 지출"":7,""예산 집행률"":6,""경찰공무원법"":9,""소방공무원법"":9,""국가위기 관리"":5,""공무원 처우 개선"":7,""근속승진기간 단축"":9}","[{""reason"":""회의의 핵심 주제로 2016회계연도 결산 및 예비비 지출 승인에 집중됨"",""weight"":10,""keyword"":""결산심사""},{""reason"":""근속승진기간 단축 관련 법률안 심사 및 의결의 주요 대상"",""weight"":9,""keyword"":""경찰공무원법""},{""reason"":""경찰공무원법과 함께 근속승진기간 단축 법률안 의결 대상"",""weight"":9,""keyword"":""소방공무원법""},{""reason"":""경찰 및 소방공무원 처우 개선을 위한 핵심 개정 내용"",""weight"":9,""keyword"":""근속승진기간 단축""},{""reason"":""결산과 함께 심사된 예비비 집행 현황 및 승인 사항"",""weight"":7,""keyword"":""예비비 지출""},{""reason"":""국가위기 대응능력 점검을 위한 정부 주관 훈련으로 보고됨"",""weight"":6,""keyword"":""을지훈련""},{""reason"":""사업별 예산 집행 실적과 집행률 저조 문제 지적 및 개선 논의"",""weight"":6,""keyword"":""예산 집행률""},{""reason"":""안보 위협 대응 및 재난대응체계 구축 관련 주요 논의 주제"",""weight"":5,""keyword"":""국가위기 관리""},{""reason"":""근속승진기간 단축과 관련해 공무원 사기 진작 및 처우 개선 강조"",""weight"":7,""keyword"":""공무원 처우 개선""},{""reason"":""2016년 선거 관리 관련 예산 집행 및 결산 보고 대상 기관"",""weight"":5,""keyword"":""중앙선관위""}]"
354회,"법률안 심사(자전거 이용 활성화, 전자정부법, 지방재정법 등 20건); 학교폭력 관련 현안보고 및 청소년 폭력사건 대책 논의; 소방관 순직 사고 및 환경미화원 안전 문제 대응; 중증외상센터 운영 및 소방·경찰병원 역할 강화 방안; 교통안전특별회계 설치 및 교통안전 정책 추진","354회 국회 행정안전위원회는 최근 강릉 소방관 순직 사고를 애도하며 시작되었고, 법률안 20건을 심사·의결하였다. 청소년 폭력사건의 심각성과 처벌 강화 필요성에 대한 현안보고가 이루어졌으며, 소방·경찰병원 및 중증외상센터 운영 문제와 관련한 질의가 있었다. 환경미화원 안전 문제와 후방카메라 설치 등 안전 대책 요구가 제기되었고, 교통안전특별회계 설치 필요성에 대한 논의도 진행되었다. 또한, 집회·시위 관리와 경찰 인권침해 진상조사 문제, 주민자치위원회 예산 논란 등 다양한 현안이 다뤄졌다. 위원들은 정부와 긴밀히 협력하여 관련 법안과 정책 개선에 힘쓸 것을 다짐하며 회의를 마무리했다.","법률안 심사(10), 청소년 폭력(9), 소방관 순직 사고(9), 중증외상센터(8), 환경미화원 안전(7), 교통안전특별회계(7), 집회·시위 관리(6), 경찰 인권침해 진상조사(5), 주민자치위원회 예산(5), 직장협의회법(4)","{""법률안 심사"":10,""청소년 폭력"":9,""중증외상센터"":8,""직장협의회법"":4,""집회·시위 관리"":6,""환경미화원 안전"":7,""소방관 순직 사고"":9,""교통안전특별회계"":7,""주민자치위원회 예산"":5,""경찰 인권침해 진상조사"":5}","[{""reason"":""회의의 핵심 일정으로 20건의 법률안 심사와 의결이 이루어짐"",""weight"":10,""keyword"":""법률안 심사""},{""reason"":""최근 청소년 범죄 증가와 처벌 강화 요구가 주요 현안으로 다뤄짐"",""weight"":9,""keyword"":""청소년 폭력""},{""reason"":""회의 시작을 알리는 안타까운 사건으로 안전 문제의 중요성을 부각"",""weight"":9,""keyword"":""소방관 순직 사고""},{""reason"":""중증외상센터 운영 문제와 소방·경찰병원 역할 강화가 집중 논의됨"",""weight"":8,""keyword"":""중증외상센터""},{""reason"":""현장 작업자의 안전 확보와 후방카메라 설치 요구가 제기됨"",""weight"":7,""keyword"":""환경미화원 안전""},{""reason"":""교통안전시설 투자 확대를 위한 특별회계 설치 필요성이 강조됨"",""weight"":7,""keyword"":""교통안전특별회계""},{""reason"":""시민 불편과 권리 균형을 위한 집회 관리 방안이 논의됨"",""weight"":6,""keyword"":""집회·시위 관리""},{""reason"":""경찰청 규정 문제와 인권침해 조사 체계 개선 요구가 언급됨"",""weight"":5,""keyword"":""경찰 인권침해 진상조사""},{""reason"":""예산 배정 문제로 예결위에서 논란 중인 현안으로 상임위 논의 필요성 제기"",""weight"":5,""keyword"":""주민자치위원회 예산""},{""reason"":""경찰·소방 하위직 공무원들의 직장협의회 설립 요구가 언급됨"",""weight"":4,""keyword"":""직장협의회법""}]"
355회,중앙선거관리위원회 위원 후보자 권순일 인사청문회 실시 및 계획서 채택; 행정안전위원회 간사 선임 건 및 위원회 운영 관련 사항; 제천 화재 사고 관련 현안 보고 및 재난 대응체계 개선 논의,"본 회의에서는 중앙선거관리위원회 위원 후보자 권순일에 대한 인사청문회 실시 계획을 채택하고, 후보자의 선서 및 모두발언을 청취한 후 질의응답을 진행하였다. 또한 자유한국당 간사 사임에 따른 홍철호 위원의 간사 선임을 의결하였다. 이어 제천 화재 사고와 관련하여 소방 대응 과정의 문제점, 지방자치단체의 역할 부재, 유가족 지원 체계 미비 등을 집중적으로 논의하며 재난 대응체계의 개선과 피해자 지원 강화를 촉구하였다. 회의는 국민 안전 강화와 재발 방지를 위한 법과 제도 개선의 필요성을 강조하며 마무리되었다.","중앙선거관리위원회(10), 권순일(9), 인사청문회(9), 행정안전위원회 간사 선임(7), 제천 화재 사고(10), 재난 대응체계(8), 유가족 지원(7), 소방청(6), 지방자치단체(6), 국민 안전(7)","{""권순일"":9,""소방청"":6,""국민 안전"":7,""인사청문회"":9,""유가족 지원"":7,""지방자치단체"":6,""재난 대응체계"":8,""제천 화재 사고"":10,""중앙선거관리위원회"":10,""행정안전위원회 간사 선임"":7}","[{""reason"":""회의의 핵심 안건으로 후보자 인사청문회가 진행된 주제"",""weight"":10,""keyword"":""중앙선거관리위원회""},{""reason"":""중앙선거관리위원회 위원 후보자로서 인사청문회의 중심 인물"",""weight"":9,""keyword"":""권순일""},{""reason"":""주요 절차로 후보자 검증과 관련된 핵심 과정"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""위원회 운영과 관련된 중요한 인사 안건"",""weight"":7,""keyword"":""행정안전위원회 간사 선임""},{""reason"":""회의 후반부 주요 현안으로 재난 대응 문제의 핵심 사건"",""weight"":10,""keyword"":""제천 화재 사고""},{""reason"":""화재 사고 관련 문제점과 개선 요구가 집중된 주제"",""weight"":8,""keyword"":""재난 대응체계""},{""reason"":""피해자 지원 및 소통 부재 문제로 회의에서 강조된 부분"",""weight"":7,""keyword"":""유가족 지원""},{""reason"":""재난 대응과 관련된 주요 기관으로 여러 차례 언급됨"",""weight"":6,""keyword"":""소방청""},{""reason"":""재난 관리 책임과 역할 부재가 지적된 주체"",""weight"":6,""keyword"":""지방자치단체""},{""reason"":""회의 전반에 걸쳐 강조된 최종 목표 및 정책 방향"",""weight"":7,""keyword"":""국민 안전""}]"
356회,"2017년도 국정감사 결과보고서 채택; 행정안전부, 경찰청, 소방청 소관 법률안 심사 및 제안설명; 밀양 및 제천 화재 사고 관련 업무보고 및 안전대책 논의; 주한미군 공여구역 주변지역 지원 특별법 일부개정법률안 심사; 가뭄 및 재난 대응 현황과 관련 예산 지원 요청","제356회 국회 행정안전위원회에서는 2017년도 국정감사 결과보고서를 채택하고 행정안전부, 경찰청, 소방청이 제출한 총 89건의 법률안에 대해 제안설명과 검토보고를 진행하였다. 특히 밀양과 제천에서 발생한 대형 화재 사고 희생자에 대한 애도와 함께 재난안전통신망 구축, 재난심리회복 지원단 설치 등 안전관리 강화 방안이 논의되었다. 또한 주한미군 공여구역 주변지역 지원 특별법 개정안으로 성주참외 군납 지원 법적 근거 마련이 강조되었으며, 최근 심각한 겨울 가뭄에 따른 산불 및 화재 피해 대응과 지방자치단체 재정 지원 요청도 다뤄졌다. 세월호 추모시설 조성 과정의 절차적 문제와 지역 갈등 해소 필요성도 지적되었다. 회의는 국민 안전과 지역 균형 발전을 위한 법률 및 정책 개선에 중점을 두었다.","국정감사 결과보고서(10), 법률안 심사(10), 밀양 화재 사고(9), 재난안전통신망(8), 주한미군 공여구역 지원(8), 가뭄 및 산불 피해(7), 세월호 추모시설(7), 재난심리회복지원단(6), 지방자치단체(6), 행정안전부(7)","{""행정안전부"":7,""법률안 심사"":10,""지방자치단체"":6,""밀양 화재 사고"":9,""재난안전통신망"":8,""세월호 추모시설"":7,""가뭄 및 산불 피해"":7,""재난심리회복지원단"":6,""국정감사 결과보고서"":10,""주한미군 공여구역 지원"":8}","[{""reason"":""회의 시작과 핵심 안건으로 채택되어 전반적 의사 진행의 기반이 됨"",""weight"":10,""keyword"":""국정감사 결과보고서""},{""reason"":""행정안전부, 경찰청, 소방청 소관 다수 법률안에 대한 심사가 주요 일정임"",""weight"":10,""keyword"":""법률안 심사""},{""reason"":""최근 대형 화재 사고로 안전 대책과 희생자 애도가 회의 초점임"",""weight"":9,""keyword"":""밀양 화재 사고""},{""reason"":""재난 대응 체계 강화를 위한 법률안 중 하나로 중요하게 다뤄짐"",""weight"":8,""keyword"":""재난안전통신망""},{""reason"":""성주참외 군납 지원 법적 근거 마련을 위한 특별법 개정안이 주요 쟁점임"",""weight"":8,""keyword"":""주한미군 공여구역 지원""},{""reason"":""겨울 가뭄 심각성과 이에 따른 재난 대응 및 예산 지원 요청이 논의됨"",""weight"":7,""keyword"":""가뭄 및 산불 피해""},{""reason"":""추모시설 조성 과정의 절차 문제와 지역 갈등이 지적되어 사회적 관심사임"",""weight"":7,""keyword"":""세월호 추모시설""},{""reason"":""재난 피해자 심리회복 지원을 위한 조직 설치가 법률안에 포함됨"",""weight"":6,""keyword"":""재난심리회복지원단""},{""reason"":""법률안과 재난 대응에서 지방자치단체의 역할과 재정 지원이 반복 언급됨"",""weight"":6,""keyword"":""지방자치단체""},{""reason"":""회의 주관 부처로서 법률안 제안과 재난 대응 업무보고 중심임"",""weight"":7,""keyword"":""행정안전부""}]"
358회,"청원경찰법 일부개정법률안 심사 및 의결; 경찰공무원 보건안전 및 복지 기본법 일부개정법률안 심사; 소방공무원법 일부개정법률안 심사 및 신분보장 관련 논의; 화재예방 및 소방시설 설치·유지 관련 법률 일부개정법률안 심사; 경찰청, 소방청, 재난안전본부, 중앙선관위 소관 법률안 전반 심사","제358회 국회 행정안전위원회 제1차 안전및선거법심사소위원회에서는 경찰청, 소방청, 재난안전본부, 중앙선관위 소관 법률안을 심사하였다. 청원경찰법 개정안은 헌법재판소 판결을 반영해 단결권과 단체교섭권을 인정하되 단체행동권은 제한하는 내용으로 원안 의결되었다. 경찰공무원 보건안전법 개정안은 심리치료 지원 명확화를 두고 법적 완결성과 타 법과의 형평성 문제를 논의하였으며, 심리치료를 별도 명시하는 방안에 대해 의견이 분분했다. 소방공무원법 개정안에서는 소방총감·소방정감의 신분보장 제외가 타당하다는 의견이 모아졌고, 시보 임용 및 자격 상실 관련 법률 정비 필요성도 검토되었다. 화재예방법 개정안은 특별조사 예고기간을 7일에서 3일로 단축하는 안에 대해 신중한 검토가 이루어졌으나 결론을 내리지 못하고 보류되었다. 전반적으로 국민 안전과 공무원 복지 강화에 중점을 두고 법률안 심사가 진행되었다.","청원경찰법(10), 경찰공무원 보건안전법(9), 소방공무원법(8), 심리치료(7), 단체행동권(7), 특별조사 예고기간(6), 신분보장(6), 법률안 심사(5), 국민안전(5), 자격 상실(4)","{""국민안전"":5,""신분보장"":6,""심리치료"":7,""자격 상실"":4,""단체행동권"":7,""청원경찰법"":10,""법률안 심사"":5,""소방공무원법"":8,""특별조사 예고기간"":6,""경찰공무원 보건안전법"":9}","[{""reason"":""헌법재판소 판결 반영과 단결권·단체교섭권 인정이 핵심 쟁점으로 다뤄짐"",""weight"":10,""keyword"":""청원경찰법""},{""reason"":""심리치료 지원 명확화와 법적 완결성 문제로 주요 논의 대상"",""weight"":9,""keyword"":""경찰공무원 보건안전법""},{""reason"":""소방총감·소방정감 신분보장 제외 및 시보 임용 관련 법률 정비가 쟁점"",""weight"":8,""keyword"":""소방공무원법""},{""reason"":""경찰공무원 정신건강 지원에서 법적 명확성 확보를 위한 핵심 개념"",""weight"":7,""keyword"":""심리치료""},{""reason"":""청원경찰의 근로삼권 중 제한 대상이자 논의 중심 주제"",""weight"":7,""keyword"":""단체행동권""},{""reason"":""화재예방법 개정안에서 예고기간 단축 여부가 쟁점으로 다뤄짐"",""weight"":6,""keyword"":""특별조사 예고기간""},{""reason"":""소방공무원 고위직 신분보장 제외가 법안 심사 핵심 사항"",""weight"":6,""keyword"":""신분보장""},{""reason"":""회의 전반에 걸쳐 다양한 법률안에 대한 심사 절차가 진행됨"",""weight"":5,""keyword"":""법률안 심사""},{""reason"":""경찰·소방 관련 법률안의 입법 취지로 반복 언급됨"",""weight"":5,""keyword"":""국민안전""},{""reason"":""소방공무원 임용 관련 자격 상실 규정의 법률 상향 조정 논의"",""weight"":4,""keyword"":""자격 상실""}]"
360회,정부조직법 일부개정법률안 심사 및 의결; 경찰공무원 보건안전 및 복지 기본법 등 관련 법률안 심사 및 의결; 드루킹 사건 관련 경찰 수사 및 공정성 문제 질의; 소방청 독립 및 조직·장비관리 기능 강화 논의; 간사 선임 및 위원회 운영 마무리,"제360회 국회 행정안전위원회 임시회에서는 정부조직법 일부개정법률안과 경찰 및 소방 관련 법률안 13건을 심사하고 의결하였다. 특히 물관리 기능의 환경부 이관과 관련한 우려가 제기되었으며, 이에 대한 충분한 준비와 조정 필요성이 강조되었다. 드루킹 사건 수사에 대한 공정성과 투명성 문제도 집중 질의되었고, 경찰의 수사 과정에 대한 아쉬움과 특검 수사의 필요성이 언급되었다. 소방청의 독립 청으로서의 역할 강화와 장비관리국 신설 필요성도 논의되었다. 위원회는 전반기 활동을 마무리하며 위원 및 관계자들의 노고에 감사를 표했다.","정부조직법(10), 물관리 통합(9), 경찰공무원 보건안전(8), 드루킹 사건(10), 소방청 독립(8), 법률안 의결(7), 간사 선임(5), 경찰 수사 신뢰(7), 소방 장비관리(6), 위원회 전반기 마무리(4)","{""간사 선임"":5,""정부조직법"":10,""드루킹 사건"":10,""물관리 통합"":9,""법률안 의결"":7,""소방청 독립"":8,""소방 장비관리"":6,""경찰 수사 신뢰"":7,""경찰공무원 보건안전"":8,""위원회 전반기 마무리"":4}","[{""reason"":""회의의 핵심 안건으로 물관리 기능 이관 등 주요 내용이 심도 있게 논의됨"",""weight"":10,""keyword"":""정부조직법""},{""reason"":""환경부와 국토교통부 간 물관리 기능 조정이 주요 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""물관리 통합""},{""reason"":""경찰복지 관련 법률안 심사 및 의결이 이루어짐"",""weight"":8,""keyword"":""경찰공무원 보건안전""},{""reason"":""경찰 수사의 공정성 및 투명성 문제로 집중 질의와 토론이 진행됨"",""weight"":10,""keyword"":""드루킹 사건""},{""reason"":""소방청의 독립 청 역할 강화와 조직 확대 필요성이 논의됨"",""weight"":8,""keyword"":""소방청 독립""},{""reason"":""13건의 법률안이 소위원회 심사 후 의결되어 위원회의 주요 업무임"",""weight"":7,""keyword"":""법률안 의결""},{""reason"":""바른미래당 권은희 위원 간사 선임으로 위원회 운영 관련 중요 사안임"",""weight"":5,""keyword"":""간사 선임""},{""reason"":""경찰 수사의 신뢰 회복과 공정성 확보가 회의 내내 강조됨"",""weight"":7,""keyword"":""경찰 수사 신뢰""},{""reason"":""소방청 장비관리국 신설과 인력 확충 필요성이 제기됨"",""weight"":6,""keyword"":""소방 장비관리""},{""reason"":""위원장과 위원들의 전반기 활동 평가 및 감사 인사가 포함됨"",""weight"":4,""keyword"":""위원회 전반기 마무리""}]"
362회,행정안전위원회 후반기 위원장 및 간사 선임; 경찰청장 후보자 민갑룡 인사청문회 실시 계획서 채택; 재난안전 및 소방공무원 국가직 전환 관련 정책 논의; 재난문자 수신 문제 및 안전 사각지대 해소 방안; 이·통장 처우 개선 및 지방자치 활성화 방안,"제362회 국회 행정안전위원회 임시회에서는 후반기 위원장으로 인재근 위원장이 선출되고, 각 교섭단체별 간사도 선임되었다. 경찰청장 후보자 인사청문회 계획서가 채택되었으며, 재난안전과 소방공무원 국가직 전환 문제에 대한 심도 있는 논의가 이루어졌다. 특히 재난문자 수신 불량 문제와 안전 사각지대 해소 방안, 소방공무원 처우 개선과 지방자치와의 조화 문제 등이 주요 쟁점으로 다뤄졌다. 또한 지역사회 실질적 민원 해결의 최일선인 이·통장 제도의 처우 개선 필요성도 강조되었다. 위원들은 국민 안전과 행정 효율성 강화를 위한 정책 추진에 협력할 것을 다짐하며 회의를 마무리했다.","행정안전위원회(10), 위원장 선출(9), 경찰청장 인사청문회(9), 재난안전(9), 소방공무원 국가직 전환(8), 재난문자 수신 문제(8), 이·통장 처우 개선(7), 지방자치(7), 간사 선임(6)","{""재난안전"":9,""지방자치"":7,""간사 선임"":6,""위원장 선출"":9,""행정안전위원회"":10,""이·통장 처우 개선"":7,""재난문자 수신 문제"":8,""경찰청장 인사청문회"":9,""소방공무원 국가직 전환"":8}","[{""reason"":""회의의 주체이자 핵심 상임위원회로서 전반적 논의의 중심"",""weight"":10,""keyword"":""행정안전위원회""},{""reason"":""후반기 위원장 인재근 선출이 회의 시작의 주요 안건"",""weight"":9,""keyword"":""위원장 선출""},{""reason"":""경찰청장 후보자 민갑룡 인사청문회 계획서 채택이 주요 의사일정"",""weight"":9,""keyword"":""경찰청장 인사청문회""},{""reason"":""국민 생명과 안전을 위한 핵심 정책 분야로 집중 논의됨"",""weight"":9,""keyword"":""재난안전""},{""reason"":""소방공무원 처우 개선과 지방자치와의 관계에서 쟁점이 된 사안"",""weight"":8,""keyword"":""소방공무원 국가직 전환""},{""reason"":""재난문자 불량 수신 문제와 안전 사각지대 해소가 중요한 현안"",""weight"":8,""keyword"":""재난문자 수신 문제""},{""reason"":""지역사회 민원 해결의 최일선인 이·통장 수당 인상 요구가 제기됨"",""weight"":7,""keyword"":""이·통장 처우 개선""},{""reason"":""행정안전위원회 관할 분야로서 지방자치 발전과 문제점 개선 논의"",""weight"":7,""keyword"":""지방자치""},{""reason"":""위원회 운영을 위한 각 교섭단체 간사 선임이 이루어짐"",""weight"":6,""keyword"":""간사 선임""}]"
363회,행정안전위원회 소위원회 구성 및 법안소위 운영 방식 논의; 2017회계연도 행정안전부 등 5개 부처 결산 및 예비비 지출 승인 심사; 전자정부지원사업 및 청와대 업무관리시스템 예산 집행과 운영 문제점 지적; 재난안전통신망 구축 및 재난복구비 이·전용 관련 시정요구; 법률안 및 입법청원 상정과 숙려기간 경과 전 안건 상정 의결,"제363회 국회 행정안전위원회에서는 소위원회 구성과 법안소위 운영 방식을 두고 교섭단체와 비교섭단체 간 의견 충돌이 있었다. 특히 복수 법안소위를 단수 소위로 통합하고 비교섭단체를 배제한 점에 대해 민주평화당이 강하게 반발하였다. 2017회계연도 행정안전부 등 5개 부처 결산 및 예비비 지출 승인 심사가 진행되었으며, 총 36건의 시정·주의·제도개선 요구사항이 보고되고 의결되었다. 전자정부지원사업과 청와대 업무관리시스템 예산 집행 문제에 대해 집중 질의가 있었고, 청와대 e지원시스템과 행안부 온나라시스템의 분리 운영과 예산 편성의 적절성에 대한 논쟁이 벌어졌다. 재난복구비의 조기 이·전용과 재난안전통신망 사업 지연 문제도 지적되었다. 법률안과 입법청원 중 숙려기간 미경과 안건에 대한 상정 의결도 이루어졌다. 전반적으로 예산 집행의 투명성과 효율성 제고, 소위원회 구성의 공정성 확보가 핵심 쟁점이었다.","소위원회 구성(10), 결산심사(9), 전자정부지원사업(9), 청와대 e지원시스템(8), 예비비 지출(7), 교섭단체(7), 비교섭단체(7), 법률안 상정(6), 재난복구비(5), 행정안전부(6)","{""결산심사"":9,""교섭단체"":7,""비교섭단체"":7,""재난복구비"":5,""행정안전부"":6,""법률안 상정"":6,""예비비 지출"":7,""소위원회 구성"":10,""전자정부지원사업"":9,""청와대 e지원시스템"":8}","[{""reason"":""회의 전반에서 비교섭단체 배제 문제와 법안소위 운영 방식 논쟁의 핵심 주제"",""weight"":10,""keyword"":""소위원회 구성""},{""reason"":""2017회계연도 행정안전부 등 5개 부처 결산 및 예비비 지출 승인 심사가 주요 안건"",""weight"":9,""keyword"":""결산심사""},{""reason"":""청와대 업무관리시스템과 연계된 예산 집행 문제로 집중 질의가 이루어진 핵심 사업"",""weight"":9,""keyword"":""전자정부지원사업""},{""reason"":""온나라시스템과 분리 운영되며 예산 편성 논란의 중심에 있는 시스템"",""weight"":8,""keyword"":""청와대 e지원시스템""},{""reason"":""재난복구비 및 재난안전통신망 사업 관련 예비비 집행 문제로 지적됨"",""weight"":7,""keyword"":""예비비 지출""},{""reason"":""소위원회 구성과 법안소위 운영에 있어 주요 결정권을 가진 집단"",""weight"":7,""keyword"":""교섭단체""},{""reason"":""소위원회 구성에서 배제되어 강한 반발을 일으킨 소수당"",""weight"":7,""keyword"":""비교섭단체""},{""reason"":""숙려기간 미경과 법률안 및 입법청원 상정 의결이 이루어진 절차적 안건"",""weight"":6,""keyword"":""법률안 상정""},{""reason"":""예비비 이·전용과 관련하여 시정요구가 제기된 재난 관련 예산"",""weight"":5,""keyword"":""재난복구비""},{""reason"":""주요 부처로서 결산심사와 전자정부사업 예산 집행의 중심 주체"",""weight"":6,""keyword"":""행정안전부""}]"
364회,2018년도 행정안전위원회 국정감사 계획서 채택; 2018년도 국정감사 증인 및 참고인 출석요구 의결; 2018년도 국정감사 서류 제출 요구 절차 및 위임; 통신구 화재 및 안전관리 대책 점검; 선거법 위반 및 공소시효 문제 관련 질의,"본 회의에서는 2018년도 행정안전위원회 국정감사 계획서 채택과 관련하여 감사반 편성 및 일정 조정에 대한 논의가 이루어졌다. 특히 감사반 권역 배분에 대한 이견이 있어 정회 후 조정하여 최종 확정하였다. 이어 국정감사 증인 및 참고인 출석요구와 서류 제출 요구 절차를 의결하였다. 이후 통신구 화재 사건과 관련한 안전관리 미비점, 화재 진압 설비 부재 문제, 그리고 통신구 관리 주체 및 책임 문제에 대해 집중 질의가 있었으며, 행안부와 과기정통부, 소방청의 협력 대책 마련을 요청하였다. 또한 선거법 위반 사건의 공소시효 임박 문제에 대한 선관위의 대응을 질의하며 철저한 조사와 대책 수립을 촉구하였다. 전반적으로 안전관리 강화와 국정감사 준비에 중점을 둔 회의였다.","국정감사계획서(10), 감사반 편성(9), 증인 출석요구(8), 서류 제출 요구(8), 통신구 화재(10), 안전관리 대책(9), 선거법 위반(7), 공소시효(7), 행정안전부(6), 과기정통부(6)","{""공소시효"":7,""과기정통부"":6,""행정안전부"":6,""감사반 편성"":9,""선거법 위반"":7,""통신구 화재"":10,""안전관리 대책"":9,""증인 출석요구"":8,""서류 제출 요구"":8,""국정감사계획서"":10}","[{""reason"":""회의의 핵심 안건으로 감사 일정과 감사반 편성에 대한 논의가 집중됨"",""weight"":10,""keyword"":""국정감사계획서""},{""reason"":""권역 배분과 위원 배정 문제로 회의 중 주요 쟁점이 되었음"",""weight"":9,""keyword"":""감사반 편성""},{""reason"":""국정감사 진행을 위한 필수 절차로 의결됨"",""weight"":8,""keyword"":""증인 출석요구""},{""reason"":""국정감사 자료 확보를 위한 절차로 중요하게 다뤄짐"",""weight"":8,""keyword"":""서류 제출 요구""},{""reason"":""안전관리 문제와 국가 안보 관련 심각한 사건으로 집중 질의됨"",""weight"":10,""keyword"":""통신구 화재""},{""reason"":""통신구 화재 이후 대책 마련과 관련 부처 협력 요구가 핵심 이슈임"",""weight"":9,""keyword"":""안전관리 대책""},{""reason"":""공소시효 임박 문제로 선관위 대응 촉구가 이루어짐"",""weight"":7,""keyword"":""선거법 위반""},{""reason"":""선거법 위반 사건 처리 시한과 관련된 중요한 법적 쟁점임"",""weight"":7,""keyword"":""공소시효""},{""reason"":""국정감사 대상 기관이자 안전관리 대책의 주체로 언급됨"",""weight"":6,""keyword"":""행정안전부""},{""reason"":""통신구 안전관리 문제 해결을 위한 협력 부처로 거론됨"",""weight"":6,""keyword"":""과기정통부""}]"
365회,지방세법 일부개정법률안 심사 및 의결; 중앙선거관리위원회 위원후보자 조해주 인사청문회 계획서 채택 및 청문회 진행 문제; 제천화재 관련 평가위원회 소위원회 구성 요청 및 논의; 과거사 정리를 위한 진실·화해 법안 및 위원회 활동 재개 요청,제365회 국회 행정안전위원회에서는 지방세법 일부개정법률안 4건을 통합·조정한 대안을 심사하고 의결하는 안건을 다루었다. 특히 자동차 번호판 영치 일시 해제 관련 법안의 구체적 시행 방안에 대한 설명 부족과 보완 필요성이 지적되었다. 중앙선거관리위원회 위원후보자 조해주에 대한 인사청문회가 야당의 불참으로 원활히 진행되지 못해 협치와 청문회 제도의 중요성이 강조되었다. 또한 제천화재 평가위원회 소위원회 구성과 과거사 진실·화해 법안의 조속한 처리 및 위원회 활동 재개 요청도 있었다. 여야 간 협의와 법안 보완을 통한 국회 운영의 효율성 및 국민 신뢰 확보가 주요 과제로 부각되었다.,"지방세법(10), 중앙선거관리위원회(9), 인사청문회(9), 자동차번호판 영치(7), 평가위원회 소위원회(6), 과거사 진실·화해 법안(6), 법안심사소위원회(5), 야당 불참(7), 협치(5)","{""협치"":5,""지방세법"":10,""야당 불참"":7,""인사청문회"":9,""법안심사소위원회"":5,""자동차번호판 영치"":7,""중앙선거관리위원회"":9,""평가위원회 소위원회"":6,""과거사 진실·화해 법안"":6}","[{""reason"":""회의의 핵심 안건으로 법률안 심사와 의결이 집중된 주제"",""weight"":10,""keyword"":""지방세법""},{""reason"":""조해주 후보자 인사청문회와 관련해 주요 쟁점으로 다뤄진 기관"",""weight"":9,""keyword"":""중앙선거관리위원회""},{""reason"":""조해주 후보자 청문회 진행 문제와 야당 불참으로 회의 핵심 쟁점"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""지방세법 개정안 중 구체적 시행방안 미비로 논란된 조항"",""weight"":7,""keyword"":""자동차번호판 영치""},{""reason"":""제천화재 관련 평가위원회 구성 요청 및 논의가 이루어진 보조 안건"",""weight"":6,""keyword"":""평가위원회 소위원회""},{""reason"":""위원회 활동 중단 문제와 조속한 처리 요청이 반복 언급됨"",""weight"":6,""keyword"":""과거사 진실·화해 법안""},{""reason"":""법률안 심사와 대안 제안 과정에서 중요한 역할을 한 위원회"",""weight"":5,""keyword"":""법안심사소위원회""},{""reason"":""청문회 진행에 직접적 영향을 미친 정치적 쟁점"",""weight"":7,""keyword"":""야당 불참""},{""reason"":""회의 운영과 청문회 진행에서 강조된 국회 운영 원칙"",""weight"":5,""keyword"":""협치""}]"
