base,label_l3,label_l2,confidence,rationale,evidence,source
10·29이태원참사 특별조사위원회 소관,안전및재난,재난·안전,0.9,이태원 참사와 관련된 특별조사위원회는 안전과 재난 관리와 관련이 깊다.,이태원참사 특별조사위원회,gpt:gpt-4o-mini
10·29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법 일부개정법률안,안전및재난,재난·안전,0.9,피해자 권리 보장 및 재발 방지와 관련된 법안은 안전 및 재난 관리와 관련이 있다.,피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,gpt:gpt-4o-mini
10·29이태원참사특별조사위원회,안전및재난,재난·안전,0.9,특별조사위원회는 재난 사건에 대한 조사와 안전 관리와 관련이 있다.,이태원참사특별조사위원회,gpt:gpt-4o-mini
10․29 이태원참사진상규명특별법 제정에 관한 청원(이재근 외 5만 인 국민동의로 제출)(청원번호 2100122),안전및재난,재난·안전,0.9,이 법안은 이태원 참사의 진상 규명과 관련되어 안전 및 재난과 연결된다.,이태원참사진상규명특별법 제정,gpt:gpt-4o-mini
10․29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법안,안전및재난,재난·안전,0.9,피해자 권리 보장 및 재발 방지와 관련된 법안은 안전 및 재난 관리와 관련이 있다.,피해자 권리보장과 진상규명 및 재발방지를 위한 특별법안,gpt:gpt-4o-mini
10․29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법안에 관한 입법 공청회,안전및재난,재난·안전,0.9,입법 공청회는 재난 사건과 관련된 법안에 대한 논의로 안전 및 재난과 관련이 있다.,피해자 권리보장과 진상규명 및 재발방지를 위한 특별법안에 관한 입법 공청회,gpt:gpt-4o-mini
112신고의 운영 및 처리에 관한 법률 일부개정법률안,안전및재난,재난·안전,0.9,112 신고 시스템은 긴급 상황에서의 안전과 재난 대응과 관련이 있다.,112신고의 운영 및 처리에 관한 법률,gpt:gpt-4o-mini
112신고의 운영 및 처리에 관한 법률안,안전및재난,재난·안전,0.9,112 신고 시스템은 긴급 상황에서의 안전과 재난 대응과 관련이 있다.,112신고의 운영 및 처리에 관한 법률안,gpt:gpt-4o-mini
119구조·구급에 관한 법률 일부개정법률안,안전및재난,재난·안전,0.9,119 구조 및 구급 서비스는 재난 상황에서의 안전과 관련이 있다.,119구조·구급에 관한 법률,gpt:gpt-4o-mini
119구조·구급에 관한 법률 일부개정법률안(대안),안전및재난,재난·안전,0.9,119 구조 및 구급 서비스는 재난 상황에서의 안전과 관련이 있다.,119구조·구급에 관한 법률 일부개정법률안(대안),gpt:gpt-4o-mini
119구조․구급에 관한 법률 일부개정법률안,안전및재난,재난·안전,0.9,119 구조 및 구급 서비스는 재난 상황에서의 안전과 관련이 있다.,119구조․구급에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
119구조․구급에 관한 법률 일부개정법률안(계속),안전및재난,재난·안전,0.9,119 구조 및 구급 서비스는 재난 상황에서의 안전과 관련이 있다.,119구조․구급에 관한 법률 일부개정법률안(계속),gpt:gpt-4o-mini
119구조․구급에 관한 법률 일부개정법률안(대안),안전및재난,재난·안전,0.9,119 구조 및 구급 서비스는 재난 상황에서의 안전과 관련이 있다.,119구조․구급에 관한 법률 일부개정법률안(대안),gpt:gpt-4o-mini
119긴급신고의 관리 및 운영에 관한 법률 일부개정법률안,안전및재난,재난·안전,0.9,119 긴급 신고 시스템은 재난 상황에서의 안전과 관련이 있다.,119긴급신고의 관리 및 운영에 관한 법률 일부개정법률안,gpt:gpt-4o-mini
119긴급신고의 관리 및 운영에 관한 법률안,안전및재난,재난·안전,0.9,119 긴급 신고 시스템은 재난 상황에서의 안전과 관련이 있다.,119긴급신고의 관리 및 운영에 관한 법률안,gpt:gpt-4o-mini
12·3 내란의 진상규명과 종식 및 민주주의 회복을 위한 특별법안,안전및재난,재난·안전,0.8,내란과 관련된 진상 규명은 안전과 재난 관리와 연결될 수 있다.,내란의 진상규명과 종식 및 민주주의 회복을 위한 특별법안,gpt:gpt-4o-mini
16세월호참사 관련 박근혜 전 대통령 기록물 공개 결의에 관한 청원(청원번호 2100017),안전및재난,재난·안전,0.8,세월호 참사와 관련된 기록물 공개는 재난 사건과 관련이 있다.,세월호참사 관련 박근혜 전 대통령 기록물 공개,gpt:gpt-4o-mini
2016회계연도 결산,지방재정,지방재정·기타,0.7,회계연도 결산은 지방 재정 관리와 관련이 있다.,2016회계연도 결산,gpt:gpt-4o-mini
2016회계연도 결산(계속),지방재정,지방재정·기타,0.7,회계연도 결산은 지방 재정 관리와 관련이 있다.,2016회계연도 결산(계속),gpt:gpt-4o-mini
2016회계연도 예비비지출 승인의 건,지방재정,지방재정·기타,0.7,예비비 지출 승인은 지방 재정 관리와 관련이 있다.,2016회계연도 예비비지출 승인의 건,gpt:gpt-4o-mini
2016회계연도 예비비지출 승인의 건(계속),지방재정,지방재정·기타,0.7,예비비 지출 승인은 지방 재정 관리와 관련이 있다.,2016회계연도 예비비지출 승인의 건(계속),gpt:gpt-4o-mini
