회의회차,요구자명,요구자정당,대상,실제요구자료,카테고리
380회,이은주,정의당,경찰청,경찰관 인권행동강령 해설서에 성적 지향 차별 금지 사유가 포함되어 있는지 확인하기 위해 강령해설서 제출 요구,정책·제도
381회,이은주,정의당,행정안전부,다른 지방공기업들이 통상임금 소송으로 낭비하는 예산 규모를 파악하기 위해 관련 자료 제출 요구,예산·재정
381회,이은주,정의당,행정안전부,지역주도형 청년일자리 사업의 지자체별 집행 실적과 최종 결과 자료를 국회의 결산심사에 앞서 취합하여 제출할 것을 요구,예산·재정
381회,이은주,정의당,전국 광역·기초 자치단체 및 지방의회,지방자치단체 내 성비위 사건의 은폐 및 축소 문제를 해결하고 피해 실태를 정확히 파악하기 위해 전수조사 결과 자료 제출 요구,인사·조직
381회,이해식,더불어민주당,환경부,"우수저류시설 설치 사업의 예산 집행실적과 그 원인, 특히 집행률이 저조한 7개 사업지구에 대한 구체적인 현황과 문제점 파악을 위해 관련 자료 제출 요구",예산·재정
381회,이해식,더불어민주당,정부,"지방정부 재난관리기금의 사용 현황과 예산 여력, 특히 7월 31일 기준 사용률과 3차 추경 감액 내역을 포함한 재정 상황을 꼼꼼히 살펴 대책 마련을 위해 관련 자료 제출 요구",예산·재정
381회,이형석,더불어민주당,행정안전부,"자치단체별로 보유하고 있는 자동식, 전동식, 수동식 수문 현황 자료를 제출해 달라는 요청",재난·안전
381회,장지원,,중앙선거관리위원회,각급 선관위에 산재되어 있는 2019년 이전 부과된 미납 과태료 채권 현황을 면밀히 파악하기 위해 관련 자료 제출 요구,통계·현황
381회,장지원,,중앙선거관리위원회,관서운영경비 운용 실태를 엄격히 점검하기 위해 관서운영경비 집행 내역 및 관련 자료 제출 요구,감사·점검
381회,장지원,,중앙선거관리위원회,위탁선거 경비 결산내역 및 자체감사 결과를 행정안전위원회에 보고하기 위해 관련 자료 제출 요구,감사·점검
381회,장지원,,중앙선거관리위원회,위탁선거관리에 대한 근본적인 해결 방안을 2021년 예산안 심사 전까지 보고하기 위해 관련 보고서 제출 요구,정책·제도
381회,장지원,,중앙선거관리위원회,2016회계연도부터 2018회계연도까지 결산 시정요구사항 중 미조치된 사항에 대해 2019회계연도 조치결과보고서 제출 시까지 조치 완료 여부 확인을 위한 보고서 제출 요구,감사·점검
382회,서범수,미래통합당,노정희 대법관,업무추진비가 실제로 없는지 확인하기 위해 업무추진비 내역 제출 요구,인사·조직
382회,서범수,미래통합당,노정희 대법관,업무추진비 성격의 돈이 있는지 확인하고 재판업무지원비 등 집행내역 제출 요구,인사·조직
382회,서범수,미래통합당,중앙선거관리위원회,21대 국회의원선거 부실 관리 현황을 구체적으로 파악하기 위해 2012년 이후 선거관리 부실 현황 자료 제출 요구,감사·점검
382회,서범수,미래통합당,중앙선거관리위원회,특정업무경비 사용총액과 사용내역을 감사원 회계감사 대상임을 근거로 국회에 제출할 것을 요구,예산·재정
382회,김민철,,경찰청,과학수사 역량 강화를 위해 국과수 합동법과학감정실 4개소의 구축 진행상황과 인력 운영 현황 자료 제출 요구,예산·재정
382회,김민철,,경찰청,국과수 인력 부족 문제와 관련하여 내년 경기북부청과 충북청 합동법과학감정실 구축을 위한 예산 반영 현황 자료 제출 요구,예산·재정
382회,박수영,미래통합당,과학기술정보통신부,과기부가 실시한 5G 실증사업 결과를 확인하기 위해 실증사업 결과 자료 제출 요구,정책·제도
382회,박수영,미래통합당,행정안전부,지역사랑상품권의 효과를 검증하기 위해 12월 말에 제출 예정인 용역 보고서 자료 제출 요구,정책·제도
382회,박수영,미래통합당,중앙선거관리위원회,국정감사에서 지적된 업무추진비 및 직책수행경비 집행 관련 해명 자료와 제도개선안 제출 요구,감사·점검
382회,박완주,,행정안전부,지자체 망분리사업의 신속한 추진을 위해 지자체별 망분리사업 예산 지원 현황과 필요 예산 증액 내역 자료 제출 요구,예산·재정
382회,박완주,,정부,노인 교통사고 사망 수준을 선진국 수준으로 감소시키기 위한 노인보호구역 개선사업의 단계적 확대를 검토하기 위해 관련 예산 증액 계획과 추진 현황 자료 제출 요구,예산·재정
382회,박완주,,경찰청,보이스피싱 피해 예방을 위해 연중 체계적 홍보를 위한 예산 증액 계획과 홍보 실행 현황 자료 제출 요구,예산·재정
