회의회차,요구자명,요구자정당,대상,실제요구자료,카테고리
353회,김부년,,행정안전부,지역별 교통안전환경개선 사업과 지역공동체일자리 사업의 예산 실집행 현황을 검토하기 위해 2016년도 보조금 예산 및 실집행 내역 자료 제출 요구,예산·재정
353회,김부년,,행정안전부,재난대책 및 재해복구 관련 사업으로의 예산 이·전용 내역과 그 적정성을 검증하기 위해 11개 세부사업의 이·전용 금액 및 사용 내역 자료 제출 요구,예산·재정
353회,김부년,,행정안전부,청사시설유지보수 사업과 전자정부지원 사업 예산의 목적 외 사용 사례를 확인하기 위해 해당 사업별 예산 집행 내역 자료 제출 요구,예산·재정
353회,김부년,,행정안전부,불우소외계층 격려 사업과 정부청사노후시설 정비사업의 예산 이월 현황을 파악하기 위해 2016년도 예산 이월 내역 자료 제출 요구,예산·재정
353회,김부년,,행정안전부,정부통합전산센터운영 사업의 낙찰차액 활용과 신규사업 추진의 적법성 검증을 위해 관련 예산 집행 내역 및 법령 준수 여부 자료 제출 요구,예산·재정
353회,김부년,,대일항쟁조사지원위원회,일제강제동원피해자재단에 대한 민간경상보조예산 집행과 관련된 보조사업실적보고서 제출 절차 및 내용의 적정성 확인을 위해 관련 보고서 및 제출 내역 자료 제출 요구,예산·재정
353회,김부년,,행정안전부,2016회계연도 행정안전부 소관 예비비지출 승인 내역 중 정부청사노후시설 정비 사업 예비비 배정 및 이월 내역을 검토하기 위해 관련 예산 집행 및 이월 자료 제출 요구,예산·재정
353회,김부년,,인사혁신처,공무원교육훈련 사업 중 단기국외훈련과 민간위탁교육의 4/4분기 예산 집행 현황과 교육 효과 및 업무 영향 분석을 위해 관련 예산 집행 내역 자료 제출 요구,예산·재정
353회,김부년,,인사혁신처,순직유족급여 관련 소송 승소율 저하 원인 분석과 공무원 재해보상 심사 적정성 제고를 위해 관련 소송 및 심사 자료 제출 요구,정책·제도
353회,김부년,,인사혁신처,공무원연금대부 사업의 대출 수요와 재원 규모 변동 현황을 파악하여 대출 운영 규모 확대 필요성을 검토하기 위해 관련 대부 사업 자료 제출 요구,예산·재정
353회,김부년,,인사혁신처,공무원연금기금의 기금관리비와 사업비 성격 지출 구분 현황을 확인하기 위해 기금관리비 및 사업비 편성·집행 내역 자료 제출 요구,예산·재정
353회,김부년,,소방청,다목적 대형소방헬기 보강 사업 예산 이·전용 및 불용 내역을 검토하기 위해 2016년도 예산 집행 및 이·전용 자료 제출 요구,예산·재정
353회,김부년,,소방청,인명구조견 재난훈련장 건립사업의 예산 이월 현황과 사업 추진 일정 적정성 검토를 위해 관련 예산 집행 및 이월 내역 자료 제출 요구,예산·재정
353회,김영진,국민의당,행정안전부,지방행정기관과 전체 행정기관의 변화된 형태를 파악하기 위한 새로운 조사 결과 자료 제출 요구,정책·제도
353회,김영진,국민의당,행정안전부,경기도 5개 시의 조정교부금 삭감이 각 도시의 중장기 재정수요 계획에 미친 영향을 파악하고 대책 마련을 위한 관련 자료 제출 요구,예산·재정
